country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-01-01,-51,-22,52,-37,-84,23
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-01-02,-28,-3,47,-12,-48,10
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-01-03,-7,23,66,21,-19,8
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-01-04,8,33,58,32,-43,11
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-01-05,2,25,60,23,-37,11
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-01-06,3,28,50,21,-34,11
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-01-07,3,29,47,25,-29,12
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-01-08,-5,35,45,23,-24,11
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-01-09,4,32,41,32,-2,4
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-01-10,2,40,50,26,-6,6
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-01-11,9,34,47,37,-19,5
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-01-12,2,22,42,16,-18,5
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-01-13,-3,16,30,10,-19,5
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-01-14,-8,8,24,6,-21,6
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-01-15,-15,16,23,7,-20,5
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-01-16,-4,17,24,9,-13,3
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-01-17,-11,18,30,-4,-15,7
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-01-18,-9,7,23,5,-22,4
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-01-19,-11,3,22,-6,-24,5
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-01-20,-6,11,20,3,-22,5
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-01-21,-1,19,22,9,-19,6
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-01-22,-7,26,26,12,-14,5
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-01-23,6,31,32,16,-7,3
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-01-24,3,38,36,9,-10,6
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-01-25,-8,13,24,3,-19,7
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-01-26,-4,11,28,5,-19,6
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-01-27,-3,18,23,9,-18,6
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-01-28,3,27,22,17,-14,6
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-01-29,-3,36,22,20,-12,4
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-01-30,15,48,26,29,-7,0
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-01-31,5,43,17,9,-10,5
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-02-01,6,29,17,26,-16,-1
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-02-02,0,21,21,8,-18,2
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-02-03,-1,17,19,4,-17,3
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-02-04,-6,14,20,0,-16,7
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-02-05,-11,22,25,6,-12,7
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-02-06,1,28,31,9,-8,5
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-02-07,-5,29,34,0,-14,8
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-02-08,-2,14,30,12,-16,4
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-02-09,-3,15,24,7,-16,5
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-02-10,-4,15,22,3,-17,6
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-02-11,-6,16,15,1,-15,5
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-02-12,-10,29,10,6,-13,3
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-02-13,7,39,15,13,-8,0
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-02-14,14,51,14,6,-15,3
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-02-15,-7,14,3,4,-18,1
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-02-16,-6,15,1,-1,-20,2
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-02-17,-5,19,-1,2,-18,3
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-02-18,-5,22,0,-1,-16,3
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-02-19,-4,39,6,9,-14,2
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-02-20,10,45,19,8,-7,-1
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-02-21,3,45,15,2,-13,4
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-02-22,-3,20,6,4,-17,2
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-02-23,4,31,10,3,-16,1
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-02-24,8,32,4,5,-16,2
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-02-25,10,40,5,10,-15,3
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-02-26,12,62,16,32,-13,1
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-02-27,41,80,29,55,-5,-4
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-02-28,41,92,27,50,-4,-2
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-03-01,32,68,20,44,-14,-2
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-03-02,23,55,17,32,-14,-1
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-03-03,18,52,12,27,-16,0
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-03-04,12,45,9,20,-13,1
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-03-05,12,64,21,33,-10,-1
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-03-06,21,55,28,33,-4,-3
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-03-07,14,58,29,26,-3,1
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-03-08,11,39,14,27,-14,-1
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-03-09,9,38,17,19,-14,0
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-03-10,7,37,11,15,-15,2
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-03-11,7,39,12,20,-13,2
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-03-12,4,57,17,25,-10,1
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-03-13,13,44,27,20,-3,-1
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-03-14,11,55,31,21,-4,2
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-03-15,7,38,18,28,-15,0
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-03-16,3,28,18,11,-14,2
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-03-17,3,30,9,12,-14,2
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-03-18,4,36,15,17,-12,2
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-03-19,7,60,19,24,-8,0
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-03-20,17,52,24,24,1,-2
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-03-21,11,57,27,19,-4,2
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-03-22,8,41,13,28,-10,-1
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-03-23,10,38,17,23,-12,1
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-03-24,9,41,7,20,-12,2
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-03-25,20,60,9,30,-9,1
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-03-26,19,81,19,43,-7,-1
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-03-27,38,83,33,53,3,-5
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-03-28,30,88,34,40,0,-2
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-03-29,24,60,16,47,-10,-2
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-03-30,23,58,16,39,-10,0
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-03-31,30,72,19,40,-12,-1
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-04-01,36,80,19,51,-12,-1
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-04-02,-11,47,22,3,-72,14
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-04-03,4,43,25,12,-27,2
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-04-04,1,41,36,2,-12,3
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-04-05,-11,27,21,1,-76,13
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-04-06,13,45,15,35,-10,1
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-04-07,14,47,14,32,-11,1
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-04-08,13,48,7,41,-7,1
BW,Botswana,,,,,,ChIJESJF0SFDpB4Re68Vhyp8ZPE,2021-04-09,8,62,14,46,-4,2
