country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
BZ,Belize,,,,,,ChIJ-foSwT5bXI8RTuMeP02KSvY,2021-01-01,-60,-57,0,-77,-72,23
BZ,Belize,,,,,,ChIJ-foSwT5bXI8RTuMeP02KSvY,2021-01-02,-40,-13,1,-49,-28,11
BZ,Belize,,,,,,ChIJ-foSwT5bXI8RTuMeP02KSvY,2021-01-03,-44,-17,-20,-45,-31,10
BZ,Belize,,,,,,ChIJ-foSwT5bXI8RTuMeP02KSvY,2021-01-04,-14,-3,12,-38,-34,12
BZ,Belize,,,,,,ChIJ-foSwT5bXI8RTuMeP02KSvY,2021-01-05,-16,-4,6,-41,-36,12
BZ,Belize,,,,,,ChIJ-foSwT5bXI8RTuMeP02KSvY,2021-01-06,-19,-4,-3,-41,-33,13
BZ,Belize,,,,,,ChIJ-foSwT5bXI8RTuMeP02KSvY,2021-01-07,-21,-5,4,-39,-34,13
BZ,Belize,,,,,,ChIJ-foSwT5bXI8RTuMeP02KSvY,2021-01-08,-23,-19,-5,-43,-30,12
BZ,Belize,,,,,,ChIJ-foSwT5bXI8RTuMeP02KSvY,2021-01-09,-28,0,3,-38,-15,7
BZ,Belize,,,,,,ChIJ-foSwT5bXI8RTuMeP02KSvY,2021-01-10,-32,-1,-11,-41,-22,7
BZ,Belize,,,,,,ChIJ-foSwT5bXI8RTuMeP02KSvY,2021-01-11,-14,-8,3,-39,-28,9
BZ,Belize,,,,,,ChIJ-foSwT5bXI8RTuMeP02KSvY,2021-01-12,-23,-13,-6,-44,-34,11
BZ,Belize,,,,,,ChIJ-foSwT5bXI8RTuMeP02KSvY,2021-01-13,-24,-9,-14,-47,-34,9
BZ,Belize,,,,,,ChIJ-foSwT5bXI8RTuMeP02KSvY,2021-01-14,-15,9,-3,-39,-37,8
BZ,Belize,,,,,,ChIJ-foSwT5bXI8RTuMeP02KSvY,2021-01-15,-47,-38,-13,-67,-69,18
BZ,Belize,,,,,,ChIJ-foSwT5bXI8RTuMeP02KSvY,2021-01-16,-29,-1,-3,-40,-26,5
BZ,Belize,,,,,,ChIJ-foSwT5bXI8RTuMeP02KSvY,2021-01-17,-36,-9,-7,-45,-31,4
BZ,Belize,,,,,,ChIJ-foSwT5bXI8RTuMeP02KSvY,2021-01-18,-14,-8,0,-40,-33,7
