country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
CR,Costa Rica,,,,,,ChIJJcmsIWLlko8RK5qBNSX3VGI,2021-01-01,-63,-41,-47,-71,-75,20
CR,Costa Rica,,,,,,ChIJJcmsIWLlko8RK5qBNSX3VGI,2021-01-02,-42,-19,-39,-46,-35,12
CR,Costa Rica,,,,,,ChIJJcmsIWLlko8RK5qBNSX3VGI,2021-01-03,-40,-19,-40,-37,-14,9
CR,Costa Rica,,,,,,ChIJJcmsIWLlko8RK5qBNSX3VGI,2021-01-04,-27,-9,-37,-34,-28,11
CR,Costa Rica,,,,,,ChIJJcmsIWLlko8RK5qBNSX3VGI,2021-01-05,-28,-9,-38,-36,-29,11
CR,Costa Rica,,,,,,ChIJJcmsIWLlko8RK5qBNSX3VGI,2021-01-06,-31,-13,-40,-38,-27,12
CR,Costa Rica,,,,,,ChIJJcmsIWLlko8RK5qBNSX3VGI,2021-01-07,-30,-13,-41,-38,-27,12
CR,Costa Rica,,,,,,ChIJJcmsIWLlko8RK5qBNSX3VGI,2021-01-08,-30,-13,-41,-38,-25,11
CR,Costa Rica,,,,,,ChIJJcmsIWLlko8RK5qBNSX3VGI,2021-01-09,-37,-18,-45,-38,-12,11
CR,Costa Rica,,,,,,ChIJJcmsIWLlko8RK5qBNSX3VGI,2021-01-10,-42,-20,-47,-40,-11,10
CR,Costa Rica,,,,,,ChIJJcmsIWLlko8RK5qBNSX3VGI,2021-01-11,-29,-14,-43,-37,-26,10
CR,Costa Rica,,,,,,ChIJJcmsIWLlko8RK5qBNSX3VGI,2021-01-12,-31,-16,-44,-39,-28,10
CR,Costa Rica,,,,,,ChIJJcmsIWLlko8RK5qBNSX3VGI,2021-01-13,-33,-19,-44,-41,-29,9
CR,Costa Rica,,,,,,ChIJJcmsIWLlko8RK5qBNSX3VGI,2021-01-14,-31,-17,-45,-42,-30,9
CR,Costa Rica,,,,,,ChIJJcmsIWLlko8RK5qBNSX3VGI,2021-01-15,-29,-13,-43,-41,-28,7
CR,Costa Rica,,,,,,ChIJJcmsIWLlko8RK5qBNSX3VGI,2021-01-16,-35,-16,-45,-39,-17,7
CR,Costa Rica,,,,,,ChIJJcmsIWLlko8RK5qBNSX3VGI,2021-01-17,-38,-17,-42,-38,-14,6
CR,Costa Rica,,,,,,ChIJJcmsIWLlko8RK5qBNSX3VGI,2021-01-18,-27,-13,-41,-38,-29,7
CR,Costa Rica,,,,,,ChIJJcmsIWLlko8RK5qBNSX3VGI,2021-01-19,-29,-15,-42,-40,-30,8
CR,Costa Rica,,,,,,ChIJJcmsIWLlko8RK5qBNSX3VGI,2021-01-20,-32,-18,-44,-41,-30,9
CR,Costa Rica,,,,,,ChIJJcmsIWLlko8RK5qBNSX3VGI,2021-01-21,-30,-17,-45,-41,-30,10
CR,Costa Rica,,,,,,ChIJJcmsIWLlko8RK5qBNSX3VGI,2021-01-22,-28,-14,-42,-39,-27,9
CR,Costa Rica,,,,,,ChIJJcmsIWLlko8RK5qBNSX3VGI,2021-01-23,-34,-17,-42,-38,-15,8
CR,Costa Rica,,,,,,ChIJJcmsIWLlko8RK5qBNSX3VGI,2021-01-24,-38,-17,-40,-39,-13,6
CR,Costa Rica,,,,,,ChIJJcmsIWLlko8RK5qBNSX3VGI,2021-01-25,-27,-15,-41,-37,-28,8
CR,Costa Rica,,,,,,ChIJJcmsIWLlko8RK5qBNSX3VGI,2021-01-26,-29,-16,-42,-39,-28,8
