country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
NA,Namibia,,,,,,ChIJIXXTbn489RsRYbLsqKXludM,2021-01-01,-62,-51,-10,-70,-80,22
NA,Namibia,,,,,,ChIJIXXTbn489RsRYbLsqKXludM,2021-01-02,-24,-5,3,-46,-27,5
NA,Namibia,,,,,,ChIJIXXTbn489RsRYbLsqKXludM,2021-01-03,-23,-4,15,-46,-20,0
NA,Namibia,,,,,,ChIJIXXTbn489RsRYbLsqKXludM,2021-01-04,-12,6,1,-31,-41,7
NA,Namibia,,,,,,ChIJIXXTbn489RsRYbLsqKXludM,2021-01-05,-20,-2,-8,-33,-40,8
NA,Namibia,,,,,,ChIJIXXTbn489RsRYbLsqKXludM,2021-01-06,-19,-1,-10,-37,-35,7
NA,Namibia,,,,,,ChIJIXXTbn489RsRYbLsqKXludM,2021-01-07,-22,-4,-11,-28,-35,9
NA,Namibia,,,,,,ChIJIXXTbn489RsRYbLsqKXludM,2021-01-08,-24,-5,-19,-35,-32,9
NA,Namibia,,,,,,ChIJIXXTbn489RsRYbLsqKXludM,2021-01-09,-21,-7,-20,-40,-12,4
NA,Namibia,,,,,,ChIJIXXTbn489RsRYbLsqKXludM,2021-01-10,-27,-12,-11,-47,-17,3
NA,Namibia,,,,,,ChIJIXXTbn489RsRYbLsqKXludM,2021-01-11,-19,-5,-15,-32,-25,6
NA,Namibia,,,,,,ChIJIXXTbn489RsRYbLsqKXludM,2021-01-12,-25,-10,-22,-31,-27,5
NA,Namibia,,,,,,ChIJIXXTbn489RsRYbLsqKXludM,2021-01-13,-26,-14,-26,-32,-26,3
NA,Namibia,,,,,,ChIJIXXTbn489RsRYbLsqKXludM,2021-01-14,-30,-19,-24,-31,-27,2
NA,Namibia,,,,,,ChIJIXXTbn489RsRYbLsqKXludM,2021-01-15,-31,-19,-32,-37,-26,2
NA,Namibia,,,,,,ChIJIXXTbn489RsRYbLsqKXludM,2021-01-16,-30,-21,-26,-45,-22,2
NA,Namibia,,,,,,ChIJIXXTbn489RsRYbLsqKXludM,2021-01-17,-37,-26,-20,-53,-26,2
NA,Namibia,,,,,,ChIJIXXTbn489RsRYbLsqKXludM,2021-01-18,-31,-22,-28,-32,-25,2
NA,Namibia,,,,,,ChIJIXXTbn489RsRYbLsqKXludM,2021-01-19,-34,-25,-29,-35,-26,3
NA,Namibia,,,,,,ChIJIXXTbn489RsRYbLsqKXludM,2021-01-20,-25,-13,-29,-36,-23,1
NA,Namibia,,,,,,ChIJIXXTbn489RsRYbLsqKXludM,2021-01-21,-26,-13,-25,-29,-24,1
NA,Namibia,,,,,,ChIJIXXTbn489RsRYbLsqKXludM,2021-01-22,-24,-9,-32,-32,-20,1
NA,Namibia,,,,,,ChIJIXXTbn489RsRYbLsqKXludM,2021-01-23,-17,-4,-25,-37,-16,0
NA,Namibia,,,,,,ChIJIXXTbn489RsRYbLsqKXludM,2021-01-24,-21,-5,-11,-47,-18,-1
NA,Namibia,,,,,,ChIJIXXTbn489RsRYbLsqKXludM,2021-01-25,-14,2,-20,-31,-19,0
NA,Namibia,,,,,,ChIJIXXTbn489RsRYbLsqKXludM,2021-01-26,-23,-8,-26,-29,-20,-1
NA,Namibia,,,,,,ChIJIXXTbn489RsRYbLsqKXludM,2021-01-27,-18,-7,-24,-29,-17,-1
