country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
TW,Taiwan,,,,,,ChIJL1cHXAbzbjQRaVScvwTwEec,2021-01-01,2,7,34,-16,-61,14
TW,Taiwan,,,,,,ChIJL1cHXAbzbjQRaVScvwTwEec,2021-01-02,-11,-2,4,-21,-14,4
TW,Taiwan,,,,,,ChIJL1cHXAbzbjQRaVScvwTwEec,2021-01-03,-7,-1,17,-10,-8,1
TW,Taiwan,,,,,,ChIJL1cHXAbzbjQRaVScvwTwEec,2021-01-04,-17,-4,-26,-16,2,3
TW,Taiwan,,,,,,ChIJL1cHXAbzbjQRaVScvwTwEec,2021-01-05,-17,0,-26,-17,6,2
TW,Taiwan,,,,,,ChIJL1cHXAbzbjQRaVScvwTwEec,2021-01-06,-18,-3,-27,-15,6,2
TW,Taiwan,,,,,,ChIJL1cHXAbzbjQRaVScvwTwEec,2021-01-07,-20,-9,-43,-20,3,0
TW,Taiwan,,,,,,ChIJL1cHXAbzbjQRaVScvwTwEec,2021-01-08,-17,-3,-39,-14,0,4
TW,Taiwan,,,,,,ChIJL1cHXAbzbjQRaVScvwTwEec,2021-01-09,-12,3,-31,-23,2,4
TW,Taiwan,,,,,,ChIJL1cHXAbzbjQRaVScvwTwEec,2021-01-10,-5,5,-8,-18,-8,3
TW,Taiwan,,,,,,ChIJL1cHXAbzbjQRaVScvwTwEec,2021-01-11,-20,-4,-42,-19,-1,4
TW,Taiwan,,,,,,ChIJL1cHXAbzbjQRaVScvwTwEec,2021-01-12,-13,6,-29,-16,3,3
TW,Taiwan,,,,,,ChIJL1cHXAbzbjQRaVScvwTwEec,2021-01-13,-13,2,-17,-13,4,1
TW,Taiwan,,,,,,ChIJL1cHXAbzbjQRaVScvwTwEec,2021-01-14,-13,-5,-23,-17,0,-3
TW,Taiwan,,,,,,ChIJL1cHXAbzbjQRaVScvwTwEec,2021-01-15,-11,-4,-18,-11,-4,-1
TW,Taiwan,,,,,,ChIJL1cHXAbzbjQRaVScvwTwEec,2021-01-16,-14,-5,-18,-21,-4,0
TW,Taiwan,,,,,,ChIJL1cHXAbzbjQRaVScvwTwEec,2021-01-17,-14,-5,-18,-25,-15,2
TW,Taiwan,,,,,,ChIJL1cHXAbzbjQRaVScvwTwEec,2021-01-18,-16,-6,-25,-19,-6,2
TW,Taiwan,,,,,,ChIJL1cHXAbzbjQRaVScvwTwEec,2021-01-19,-16,-5,-18,-18,-3,1
TW,Taiwan,,,,,,ChIJL1cHXAbzbjQRaVScvwTwEec,2021-01-20,-14,-5,-12,-12,-2,1
TW,Taiwan,,,,,,ChIJL1cHXAbzbjQRaVScvwTwEec,2021-01-21,-13,-8,-17,-19,-8,-1
TW,Taiwan,,,,,,ChIJL1cHXAbzbjQRaVScvwTwEec,2021-01-22,-15,-8,-21,-18,-11,3
TW,Taiwan,,,,,,ChIJL1cHXAbzbjQRaVScvwTwEec,2021-01-23,-14,-4,-17,-23,-4,1
TW,Taiwan,,,,,,ChIJL1cHXAbzbjQRaVScvwTwEec,2021-01-24,-10,-3,3,-20,-14,1
TW,Taiwan,,,,,,ChIJL1cHXAbzbjQRaVScvwTwEec,2021-01-25,-12,-3,-12,-19,-10,3
TW,Taiwan,,,,,,ChIJL1cHXAbzbjQRaVScvwTwEec,2021-01-26,-14,-2,-12,-19,-7,2
TW,Taiwan,,,,,,ChIJL1cHXAbzbjQRaVScvwTwEec,2021-01-27,-17,-7,-16,-19,-6,3
TW,Taiwan,,,,,,ChIJL1cHXAbzbjQRaVScvwTwEec,2021-01-28,-17,-10,-30,-23,-8,0
TW,Taiwan,,,,,,ChIJL1cHXAbzbjQRaVScvwTwEec,2021-01-29,-12,-7,-19,-19,-10,3
TW,Taiwan,,,,,,ChIJL1cHXAbzbjQRaVScvwTwEec,2021-01-30,-12,-5,-10,-24,-3,1
TW,Taiwan,,,,,,ChIJL1cHXAbzbjQRaVScvwTwEec,2021-01-31,-8,-2,9,-23,-12,1
TW,Taiwan,,,,,,ChIJL1cHXAbzbjQRaVScvwTwEec,2021-02-01,-11,-3,-12,-21,-10,3
TW,Taiwan,,,,,,ChIJL1cHXAbzbjQRaVScvwTwEec,2021-02-02,-13,-4,-17,-21,-7,3
TW,Taiwan,,,,,,ChIJL1cHXAbzbjQRaVScvwTwEec,2021-02-03,-12,-4,-11,-18,-6,2
TW,Taiwan,,,,,,ChIJL1cHXAbzbjQRaVScvwTwEec,2021-02-04,-10,-4,-19,-20,-8,-1
TW,Taiwan,,,,,,ChIJL1cHXAbzbjQRaVScvwTwEec,2021-02-05,-8,1,-16,-17,-11,3
TW,Taiwan,,,,,,ChIJL1cHXAbzbjQRaVScvwTwEec,2021-02-06,-11,3,-17,-24,-1,1
TW,Taiwan,,,,,,ChIJL1cHXAbzbjQRaVScvwTwEec,2021-02-07,-5,4,1,-23,-8,2
TW,Taiwan,,,,,,ChIJL1cHXAbzbjQRaVScvwTwEec,2021-02-08,-1,9,-16,-15,-15,3
TW,Taiwan,,,,,,ChIJL1cHXAbzbjQRaVScvwTwEec,2021-02-09,6,20,-12,-9,-16,3
TW,Taiwan,,,,,,ChIJL1cHXAbzbjQRaVScvwTwEec,2021-02-10,5,27,-7,-19,-58,12
TW,Taiwan,,,,,,ChIJL1cHXAbzbjQRaVScvwTwEec,2021-02-11,-25,7,-33,-36,-74,13
TW,Taiwan,,,,,,ChIJL1cHXAbzbjQRaVScvwTwEec,2021-02-12,-18,-3,60,-21,-78,14
TW,Taiwan,,,,,,ChIJL1cHXAbzbjQRaVScvwTwEec,2021-02-13,-28,-9,11,-18,-51,-1
TW,Taiwan,,,,,,ChIJL1cHXAbzbjQRaVScvwTwEec,2021-02-14,-12,-3,55,-3,-35,-3
TW,Taiwan,,,,,,ChIJL1cHXAbzbjQRaVScvwTwEec,2021-02-15,9,6,85,-4,-68,8
TW,Taiwan,,,,,,ChIJL1cHXAbzbjQRaVScvwTwEec,2021-02-16,0,5,49,-13,-65,11
TW,Taiwan,,,,,,ChIJL1cHXAbzbjQRaVScvwTwEec,2021-02-17,-16,-5,-15,-17,-13,5
TW,Taiwan,,,,,,ChIJL1cHXAbzbjQRaVScvwTwEec,2021-02-18,-11,-6,-14,-19,-11,1
TW,Taiwan,,,,,,ChIJL1cHXAbzbjQRaVScvwTwEec,2021-02-19,-10,-3,-10,-19,-11,5
TW,Taiwan,,,,,,ChIJL1cHXAbzbjQRaVScvwTwEec,2021-02-20,-15,-7,-12,-16,48,-2
TW,Taiwan,,,,,,ChIJL1cHXAbzbjQRaVScvwTwEec,2021-02-21,-6,1,19,-14,-8,1
TW,Taiwan,,,,,,ChIJL1cHXAbzbjQRaVScvwTwEec,2021-02-22,-13,-2,-14,-15,-2,1
TW,Taiwan,,,,,,ChIJL1cHXAbzbjQRaVScvwTwEec,2021-02-23,-16,-4,-17,-15,1,1
TW,Taiwan,,,,,,ChIJL1cHXAbzbjQRaVScvwTwEec,2021-02-24,-16,-3,-13,-14,3,1
TW,Taiwan,,,,,,ChIJL1cHXAbzbjQRaVScvwTwEec,2021-02-25,-12,-2,-22,-15,1,-2
TW,Taiwan,,,,,,ChIJL1cHXAbzbjQRaVScvwTwEec,2021-02-26,-12,-1,-18,-8,-3,1
TW,Taiwan,,,,,,ChIJL1cHXAbzbjQRaVScvwTwEec,2021-02-27,-14,-5,-14,-16,-7,2
TW,Taiwan,,,,,,ChIJL1cHXAbzbjQRaVScvwTwEec,2021-02-28,0,2,49,-5,-14,-1
TW,Taiwan,,,,,,ChIJL1cHXAbzbjQRaVScvwTwEec,2021-03-01,8,9,47,-10,-56,10
TW,Taiwan,,,,,,ChIJL1cHXAbzbjQRaVScvwTwEec,2021-03-02,-21,-7,-32,-16,1,2
TW,Taiwan,,,,,,ChIJL1cHXAbzbjQRaVScvwTwEec,2021-03-03,-19,-7,-22,-15,2,1
TW,Taiwan,,,,,,ChIJL1cHXAbzbjQRaVScvwTwEec,2021-03-04,-18,-10,-30,-17,1,-2
TW,Taiwan,,,,,,ChIJL1cHXAbzbjQRaVScvwTwEec,2021-03-05,-11,-2,-18,-9,-1,1
TW,Taiwan,,,,,,ChIJL1cHXAbzbjQRaVScvwTwEec,2021-03-06,-17,-8,-27,-23,-1,3
TW,Taiwan,,,,,,ChIJL1cHXAbzbjQRaVScvwTwEec,2021-03-07,-10,-2,-5,-17,-9,2
TW,Taiwan,,,,,,ChIJL1cHXAbzbjQRaVScvwTwEec,2021-03-08,-14,-2,-21,-15,-2,2
TW,Taiwan,,,,,,ChIJL1cHXAbzbjQRaVScvwTwEec,2021-03-09,-15,-3,-17,-15,2,1
TW,Taiwan,,,,,,ChIJL1cHXAbzbjQRaVScvwTwEec,2021-03-10,-15,-2,-16,-13,3,1
TW,Taiwan,,,,,,ChIJL1cHXAbzbjQRaVScvwTwEec,2021-03-11,-13,-4,-19,-14,1,-3
TW,Taiwan,,,,,,ChIJL1cHXAbzbjQRaVScvwTwEec,2021-03-12,-8,0,-15,-7,-2,0
