country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-01-01,33,49,53,28,8,6
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-01-02,37,56,20,35,16,5
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-01-03,39,58,60,33,16,5
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-01-04,41,54,64,31,20,5
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-01-05,36,52,58,31,15,4
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-01-06,36,52,51,28,11,4
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-01-07,40,50,54,36,17,4
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-01-08,33,50,48,25,4,5
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-01-09,38,54,15,33,14,3
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-01-10,42,57,46,28,15,3
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-01-11,43,53,46,28,20,3
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-01-12,33,48,47,23,13,3
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-01-13,29,42,37,20,7,1
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-01-14,25,34,30,12,4,0
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-01-15,15,27,19,-1,-13,1
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-01-16,14,29,-5,3,-6,1
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-01-17,20,35,22,1,-3,2
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-01-18,21,31,28,4,0,2
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-01-19,17,29,26,4,-2,1
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-01-20,15,28,24,-5,-4,2
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-01-21,21,30,26,8,4,2
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-01-22,16,30,23,0,-8,4
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-01-23,18,33,-1,5,1,3
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-01-24,24,40,31,7,3,2
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-01-25,25,36,37,11,5,3
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-01-26,22,36,35,10,3,2
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-01-27,21,33,33,10,0,2
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-01-28,27,35,36,15,6,1
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-01-29,25,40,32,13,-7,2
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-01-30,32,49,9,20,2,0
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-01-31,35,53,42,16,4,0
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-02-01,38,52,48,21,6,0
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-02-02,33,49,48,21,2,-1
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-02-03,19,30,31,5,-5,-1
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-02-04,15,20,33,-2,-4,-3
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-02-05,13,23,30,-2,-15,-2
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-02-06,14,24,-1,4,-4,-2
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-02-07,17,24,28,-2,-2,-2
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-02-08,19,25,30,2,-2,-3
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-02-09,24,36,38,9,-2,-2
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-02-10,22,31,34,7,-2,-2
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-02-11,26,31,32,4,0,-2
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-02-12,23,35,28,5,-10,-1
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-02-13,25,39,-2,11,-1,-2
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-02-14,30,43,27,8,3,-2
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-02-15,29,37,33,4,5,-2
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-02-16,29,42,33,9,3,-3
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-02-17,28,40,30,8,0,-3
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-02-18,32,38,35,11,3,-3
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-02-19,28,42,35,8,-7,-2
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-02-20,30,45,6,16,3,-3
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-02-21,32,47,38,13,5,-3
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-02-22,34,41,36,12,7,-3
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-02-23,29,43,35,12,4,-3
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-02-24,29,41,31,9,1,-3
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-02-25,32,40,40,13,5,-3
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-02-26,25,42,34,11,-8,-1
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-02-27,30,49,5,14,4,-3
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-02-28,31,49,32,6,4,-3
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-03-01,34,46,37,9,9,-4
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-03-02,32,49,38,11,4,-3
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-03-03,32,49,36,13,3,-3
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-03-04,35,47,38,14,6,-3
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-03-05,30,50,29,8,-6,-1
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-03-06,31,53,2,14,3,-2
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-03-07,35,53,29,13,6,-3
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-03-08,35,47,36,8,8,-3
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-03-09,32,51,33,15,6,-3
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-03-10,33,50,30,12,3,-3
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-03-11,37,50,37,15,7,-2
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-03-12,32,54,30,14,-4,-1
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-03-13,37,60,7,20,6,-2
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-03-14,41,63,37,16,9,-2
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-03-15,41,57,36,15,12,-2
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-03-16,33,53,33,13,5,-2
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-03-17,36,54,36,16,5,-3
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-03-18,41,55,38,21,10,-2
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-03-19,36,58,33,13,-3,-1
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-03-20,29,51,-3,15,1,-1
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-03-21,46,69,42,21,9,-4
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-03-22,45,62,41,17,11,-2
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-03-23,39,61,35,22,6,-3
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-03-24,39,60,39,17,3,-2
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-03-25,44,62,42,21,8,-2
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-03-26,38,65,34,18,-2,0
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-03-27,42,68,12,23,7,-2
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-03-28,45,71,43,21,7,-1
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-03-29,48,68,44,25,11,-2
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-03-30,44,66,46,24,7,-2
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-03-31,42,63,40,17,2,-2
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-04-01,48,65,47,26,11,-2
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-04-02,43,66,38,24,1,0
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-04-03,48,72,16,31,7,-2
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-04-04,53,75,49,25,8,-2
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-04-05,56,71,50,25,9,-2
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-04-06,51,71,55,29,6,-2
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-04-07,47,68,47,24,1,-2
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-04-08,52,66,49,29,9,-2
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-04-09,48,71,42,23,1,-1
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-04-10,57,80,19,36,7,-2
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-04-11,62,85,60,34,5,-3
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-04-12,68,82,56,33,5,-3
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-04-13,22,55,24,3,-8,5
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2021-04-14,28,56,29,7,-7,4
